WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (1407417.0844 4918650.075)",352200,Gardens (Dunedin City),1.51173629,1.51173629,1407417.0844,4918650.075,-45.85877849,170.51916854,1407417.0844,4918650.075
"POINT (1403589.3787 4915408.9335)",352300,Kenmure,1.10022035,1.10022035,1403589.37865,4915408.93345,-45.88684127,170.46858497,1403589.3787,4915408.9335
"POINT (1406553.7518 4918164.5794)",352400,Campus West,0.32160378,0.32160378,1406553.7518,4918164.5794,-45.86290217,170.50786264,1406553.7518,4918164.5794
"POINT (1400367.6 4911635.1712)",352500,Waldronville,9.53817928,9.53817928,1400367.60005,4911635.17115,-45.91984564,170.42553453,1400367.6,4911635.1712
"POINT (1401239.7494 4913081.1272)",352600,Green Island,3.64510434,3.64510434,1401239.7494,4913081.1272,-45.90709712,170.43736925,1401239.7494,4913081.1272
"POINT (1414934.2142 4924058.3285)",352700,Port Chalmers,3.2334276,3.2334276,1414934.21415,4924058.3285,-45.81220383,170.61799409,1414934.2142,4924058.3285
"POINT (1406318.7644 4917737.0992)",352800,Royal Terrace,0.2764839,0.2764839,1406318.76435,4917737.09915,-45.86668004,170.50466615,1406318.7644,4917737.0992
"POINT (1405423.785 4916700.4283)",352900,Arthur Street,0.71722274,0.71722274,1405423.78495,4916700.4283,-45.8757494,170.49272725,1405423.785,4916700.4283
"POINT (1409173.1173 4919105.0293)",353000,Opoho,2.35880387,2.35880387,1409173.11725,4919105.02925,-45.85517613,170.54194878,1409173.1173,4919105.0293
"POINT (1407464.1922 4917969.4244)",353100,Campus North,0.60673268,0.60673268,1407464.1922,4917969.42435,-45.86491215,170.51950247,1407464.1922,4917969.4244
"POINT (1406901.4106 4917615.4074)",353200,Campus South,0.47018425,0.47018425,1406901.4106,4917615.4074,-45.86793792,170.51211679,1406901.4106,4917615.4074
"POINT (1404784.4879 4915579.8502)",353300,Mornington,1.06980458,1.06980458,1404784.4879,4915579.85015,-45.88564448,170.48404236,1404784.4879,4915579.8502
"POINT (1406218.9552 4916572.4232)",353400,Dunedin Central,1.3070742,1.3070742,1406218.95515,4916572.42315,-45.87712471,170.50291221,1406218.9552,4916572.4232
"POINT (1404158.2213 4914859.3173)",353500,Maryhill,1.23501707,1.23501707,1404158.2213,4914859.3173,-45.89194542,170.47568522,1404158.2213,4914859.3173
"POINT (1410980.5939 4919457.589)",353600,Ravensbourne-St Leonards,4.90925957,4.90925957,1410980.59385,4919457.58895,-45.85250406,170.56534806,1410980.5939,4919457.589
"POINT (1408389.979 4917673.9542)",353700,Harbourside,2.70549182,2.70549182,1408389.979,4917673.95415,-45.86782727,170.53130076,1408389.979,4917673.9542
"POINT (1405490.316 4915713.6962)",353800,Fernhill,0.79443961,0.79443961,1405490.31605,4915713.69615,-45.88464081,170.49318449,1405490.316,4915713.6962
"POINT (1417313.0053 4917527.7546)",353900,Otago Peninsula,84.98562628,84.98562628,1417313.00525,4917527.75455,-45.87156725,170.64610881,1417313.0053,4917527.7546
"POINT (1403013.3813 4913402.6674)",354000,Concord,1.16384066,1.16384066,1403013.38125,4913402.6674,-45.90471629,170.46034592,1403013.3813,4913402.6674
"POINT (1403633.9579 4914022.6622)",354100,Calton Hill,0.66409249,0.66409249,1403633.9579,4914022.6622,-45.89931896,170.46859234,1403633.9579,4914022.6622
"POINT (1404667.7325 4914338.7418)",354200,Caversham,0.70323849,0.70323849,1404667.73245,4914338.7418,-45.89677117,170.4820345,1404667.7325,4914338.7418
"POINT (1406381.5805 4914891.591)",354300,Hillside-Portsmouth Drive,1.3744558,1.3744558,1406381.5805,4914891.59095,-45.89228448,170.5043287,1406381.5805,4914891.591
"POINT (1404588.4656 4913615.9289)",354400,Kew (Dunedin City),0.70651138,0.70651138,1404588.4656,4913615.92885,-45.90324804,170.48071959,1404588.4656,4913615.9289
"POINT (1403947.4671 4913032.7465)",354500,Corstorphine,0.8707156,0.8707156,1403947.4671,4913032.74645,-45.90830943,170.47222569,1403947.4671,4913032.7465
"POINT (1405324.1487 4913889.8802)",354600,Forbury,0.55507378,0.55507378,1405324.1487,4913889.88015,-45.90099334,170.49030599,1405324.1487,4913889.8802
"POINT (1406067.4764 4914146.0456)",354700,Bathgate Park,0.53137555,0.53137555,1406067.47635,4914146.04555,-45.89889991,170.49998291,1406067.4764,4914146.0456
"POINT (1404233.8298 4912313.2102)",354800,St Clair,2.02846949,2.02846949,1404233.8298,4912313.2102,-45.9148609,170.47562075,1404233.8298,4912313.2102
"POINT (1408618.6373 4915811.5577)",354900,Waverley,2.14698656,2.14698656,1408618.63725,4915811.5577,-45.88463789,170.53350277,1408618.6373,4915811.5577
"POINT (1413280.5785 4917390.0989)",355000,Macandrew Bay-Company Bay,2.58091874,2.58091874,1413280.5785,4917390.09885,-45.87172339,170.59414405,1413280.5785,4917390.0989
"POINT (1416617.9743 4920511.4374)",355100,Broad Bay-Portobello,3.59697698,3.59697698,1416617.97425,4920511.4374,-45.84455049,170.63829798,1416617.9743,4920511.4374
"POINT (1406311.5409 4913495.8297)",355200,St Kilda South,1.13620034,1.13620034,1406311.5409,4913495.82965,-45.90481538,170.5028639,1406311.5409,4913495.8297
"POINT (1407471.1127 4914363.5959)",355300,Musselburgh,0.5756251,0.5756251,1407471.1127,4914363.5959,-45.89733798,170.5181474,1407471.1127,4914363.5959
"POINT (1409364.9782 4915447.515)",355400,Shiel Hill,1.37182293,1.37182293,1409364.97815,4915447.51495,-45.88811859,170.54296814,1409364.9782,4915447.515
"POINT (1407115.8379 4913665.9126)",355500,St Kilda North,1.05786436,1.05786436,1407115.83795,4913665.9126,-45.90351204,170.51329176,1407115.8379,4913665.9126
"POINT (1408923.9705 4914305.164)",355600,Andersons Bay,1.25594294,1.25594294,1408923.9705,4914305.16395,-45.8982685,170.53683509,1408923.9705,4914305.164
"POINT (1408239.995 4913703.7826)",355700,Tainui,1.99107706,1.99107706,1408239.99495,4913703.7826,-45.90348586,170.52778609,1408239.995,4913703.7826
"POINT (1305894.1181 4917268.0803)",355800,West Otago,1374.56180801,1374.56180801,1305894.11805,4917268.08025,-45.83535422,169.21290702,1305894.1181,4917268.0803
"POINT (1345108.4393 4913721.2702)",355900,Tuapeka,1235.24671185,1256.74848491,1345108.4393,4913721.2702,-45.88283856,169.71507443,1345108.4393,4913721.2702
"POINT (1319573.02 4873636.9095)",356000,Clinton,839.69551044,839.69551044,1319573.02,4873636.9095,-46.23295914,169.36302838,1319573.02,4873636.9095
"POINT (1338639.4787 4884087.6365)",356100,Clutha Valley,747.32722419,747.32722419,1338639.47865,4884087.63645,-46.14666172,169.61562874,1338639.4787,4884087.6365
"POINT (1374703.5331 4893772.948)",356200,Bruce,879.67792953,885.94596522,1374703.53315,4893772.948,-46.07247342,170.08655606,1374703.5331,4893772.948
"POINT (1328573.8402 4848807.7233)",356300,Catlins,1072.95864598,1072.95864598,1328573.8402,4848807.72325,-46.45964433,169.46517021,1328573.8402,4848807.7233
